name,tech,cat,size,Latitude,Longitude,state_abbr,unit,size_perc,size_perc_scurve
Digital Realty,Colocation Datacenter,Datacenter,6.6000000000000005,52.285454,4.765978,NA,MW,0.007183194815513517,0.6455658398812243
STACK Infrastructure,Colocation Datacenter,Datacenter,20.592,59.510076,17.897401,NA,MW,0.02241309081400202,0.7473373735071814
Digital Realty,Colocation Datacenter,Datacenter,1.518,52.28417,4.771006,NA,MW,0.0016515816462511826,0.5199379760614532
STACKIT,Colocation Datacenter,Datacenter,0.66,49.145884,9.308051,NA,MW,7.176729293627365e-4,0.4155754666095678
Equinix,Colocation Datacenter,Datacenter,2.9040000000000004,52.397022,4.83887,NA,MW,0.0031602034196863645,0.577333687100005
maincubes B.V.,Colocation Datacenter,Datacenter,3.1020000000000003,52.2821336213835,4.77286556427893,NA,MW,0.0033757208158913905,0.5823886186762807
STACK Infrastructure,Colocation Datacenter,Datacenter,7.0422,59.924963,10.809214,NA,MW,0.007664517000371409,0.65850164318363
Equinix,Colocation Datacenter,Datacenter,6.6000000000000005,52.3373632934676,4.93367692827621,NA,MW,0.007183194815513517,0.6455658398812243
Switch Datacenters,Colocation Datacenter,Datacenter,9.9,52.0823669140523,4.8924711815626996,NA,MW,0.010775151418930618,0.6833128712366293
NorthC,Colocation Datacenter,Datacenter,12.21,52.259632,4.773829,NA,MW,0.013289521041322586,0.7054309081452407
Equinix,Colocation Datacenter,Datacenter,8.712,48.927262308169,2.35042649784745,NA,MW,0.009482047041700461,0.6734240467363076
Equinix,Colocation Datacenter,Datacenter,6.6000000000000005,53.4111728933004,-6.34619220007877,NA,MW,0.007183194815513517,0.6455658398812243
Centron,Self-build Datacenter,Datacenter,0.792,49.9134912091201,10.8655268400812,NA,MW,8.613511934994207e-4,0.45478548622291065
Equinix,Colocation Datacenter,Datacenter,2.6334000000000004,47.3877710097829,8.52022070810406,NA,MW,0.0028656629782061625,0.5630476599219997
Equinix,Colocation Datacenter,Datacenter,1.4520000000000002,41.351619,2.137666,NA,MW,0.001579742514182841,0.5180563038110195
Equinix,Colocation Datacenter,Datacenter,2.706,59.362495,17.95652,NA,MW,0.002944686023481338,0.5750744155771206
Equinix,Colocation Datacenter,Datacenter,0.99,53.464092,-2.236705,NA,MW,0.0010768685897044467,0.46920446292403056
Equinix,Colocation Datacenter,Datacenter,4.356,53.411812,-6.351747,NA,MW,0.004740664325189888,0.6123018693704554
Equinix,Colocation Datacenter,Datacenter,6.2700000000000005,59.263637,18.105334,NA,MW,0.0068239991551718076,0.6409353607160034
Templus,Colocation Datacenter,Datacenter,0.528,37.396285,-5.948006,NA,MW,5.739946652260526e-4,0.4001521973645303
Equinix,Colocation Datacenter,Datacenter,1.4520000000000002,52.153554,21.002694,NA,MW,0.001579742514182841,0.5180563038110195
Equinix,Colocation Datacenter,Datacenter,17.688000000000002,40.996201,29.170973,NA,MW,0.019252169002994972,0.735047642060232
Equinix,Colocation Datacenter,Datacenter,8.91,50.098069,8.588112,NA,MW,0.009697564437905487,0.674260782454463
Equinix,Colocation Datacenter,Datacenter,1.32,53.318349,-6.440482,NA,MW,0.0014360642500461567,0.49707249917727087
Equinix,Colocation Datacenter,Datacenter,1.62558,60.220759,24.983743,NA,MW,0.0017686794315225803,0.5252397963342311
Equinix,Colocation Datacenter,Datacenter,1.98,45.448019,9.147705,NA,MW,0.002154455570729577,0.5378026804166678
maincubes B.V.,Colocation Datacenter,Datacenter,3.96,50.110011,8.742534,NA,MW,0.0043096295327798365,0.6014333584057593
Equinix,Colocation Datacenter,Datacenter,12.012,48.900163,2.422095,NA,MW,0.013074003645117559,0.7052385429961456
Equinix,Colocation Datacenter,Datacenter,2.64,48.143191,11.555765,NA,MW,0.002872846891412997,0.5631704731174867
Equinix,Colocation Datacenter,Datacenter,0.68574,60.1850662554124,24.9688038994011,NA,MW,7.4569019086939e-4,0.45033442571761323
Equinix,Colocation Datacenter,Datacenter,2.112,60.203102,24.778567,NA,MW,0.0022981338348662607,0.5517184480891771
Equinix,Colocation Datacenter,Datacenter,3.3693000000000004,60.2844,24.838825,NA,MW,0.003666669300768176,0.5961710066087166
Lunar Digital,Colocation Datacenter,Datacenter,0.9239999999999999,53.46445,-2.248055,NA,MW,0.0010050294576361045,0.46624023411972476
Equinix,Colocation Datacenter,Datacenter,2.9370000000000003,46.207919,6.09826,NA,MW,0.0031961229857205356,0.5782148235219227
Equinix,Colocation Datacenter,Datacenter,3.6828000000000003,25.0264325005234,55.1866133834176,NA,MW,0.0040079051780928,0.5991889128589328
