State,City/Town,County,Feature Type,Value Type,Value,Citation,Comment,Updated Type,Updated Value,Updated Comment,Ordinance Year,Original Captured Date,New Capture Date,Update Status
New York,Montgomery,,Maximum Lot Size,Acres,20,Montgomery Local Law 6-2019,,,,,2019,,,
New York,Mount Hope ,,Minimum Lot Size,Acres,10,Mount Hope Code з 250-36(G),,,,,,,,
New York,Mount Hope ,,Maximum Lot Coverage,Percentage,85,Mount Hope Code з 250-36(G),,,,,,,,
New York,Mount Hope ,,Height ,Meters,4.5,Mount Hope Code з 250-36(G),,,,,,,,
New York,Mount Hope ,,Property Line ,Meters,30.48,Mount Hope Code з 250-36(G),,,,,,,,
New York,Riverhead,,Minimum Lot Size ,Acres,6,Riverhead Town Code з 301-282,,,,,2018,,,
New York,Riverhead,,Height,Meters,2.5,Riverhead Town Code з 301-282,8' Max height,,,,2018,,,
New York,Riverhead,,Maximum Lot Coverage,Percentage,75,Riverhead Town Code з 301-282,,,,,2018,,,
New York,Riverhead,,Structures,Meters,30.48,Riverhead Town Code з 301-282,100' setback to residential buildings,,,,2018,,,
New York,Rochester,,Maximum Lot Size,Acres,20,Rochester Town Code з 140-37(I),,,,,,,,
New York,Rochester,,Height,Meters,4.5,Rochester Town Code з 140-37(I),,,,,,,,
North Carolina ,,Alamance,Minimum Lot Size ,Acres,10,Alamance County Unified Dev. Ord. з 6.8.3,,,,,2020,2018,,
North Carolina ,,Alamance,Property Line,Meters,22.86,Alamance County Unified Dev. Ord. з 6.8.3,75' setback,,,,2020,2018,,
North Carolina ,,Alamance,Rivers,Meters,15.24,Alamance County Unified Dev. Ord. з 6.8.3,50' setback from streams ,,,,,2018,,
North Carolina ,,Alexander,Minimum Lot Size,Acres,5,Alexander County Zoning Ord. з 154.130.2(B),,,,,,2018,,
North Carolina ,,Alexander,Property Line,Meters,12.19,Alexander County Zoning Ord. з 154.130.2(B),40' setback,,,,,2018,,
North Carolina ,,Anson,Property Line,Meters,30.48,Anson County Solar Energy Ord. ,,,,,,2018,,
North Carolina ,,Anson,Structures,Meters,152.4,Anson County Solar Energy Ord. ,500' setback to existing residential structures ,,,,,2018,,
North Carolina ,,Beaufort ,Property Line,Meters,30.48,Beaufort County Code Ords. з 155.06,,,,,2018,2018,,
North Carolina ,,Beaufort ,Roads,Meters,30.48,Beaufort County Code Ords. з 155.06,,,,,2018,2018,,
North Carolina ,,Beaufort ,Structures,Meters,91.44,Beaufort County Code Ords. з 155.06,,,,,2018,2018,,
North Carolina ,,Bladen,Height,Meters,7.62,Bladen County Code Ords. з 13.4.2,,,,,,2018,,
North Carolina ,,Brunswick,Height ,Meters,6.096,Brunswick County Code Ords. з 5.3(Q),,,,,,2018,,
North Carolina ,,Brunswick,Roads,Meters,60.96,Brunswick County Code Ords. з 5.3(Q),,,,,,2018,,
North Carolina ,,Brunswick,Highway,Meters,152.4,Brunswick County Code Ords. з 5.3(Q),,,,,,2018,,
North Carolina ,,Caldwell,Structures,Meters,30.48,Caldwell County Code Ords. з 157.037,100' setback to structures (As a footnote in part (E)),,,,,2018,,
North Carolina ,,Caldwell,Height,Meters,6.096,Caldwell County Code Ords. з 157.037,,,,,,2018,,
North Carolina ,,Camden,Minimum Lot Size,Acres,5,Camden County Unified Dev. Ord. з 4.4.5(D)(1),,,,,2019,2018,,
North Carolina ,,Camden,Property Line,Meters,30.48,Camden County Unified Dev. Ord. з 4.4.5(D)(1),,,,,2019,2018,,
North Carolina ,,Camden,Height,Meters,4.5,Camden County Unified Dev. Ord. з 4.4.5(D)(1),15' max height ,,,,2019,2018,,
North Carolina ,,Carteret,Property Line,Meters,38.1,Carteret County Code Ords. за13.5.6,125' setback,,,,2017,,,
North Carolina ,,Carteret,Height,Meters,4.5,Carteret County Code Ords. з 13.5.6,,,,,2017,,,
North Carolina ,,Catawba,Property Line,Meters,15.24,Catawba County Unified Dev. Ord. з 44-633,,,,,2021,,,
North Carolina ,,Catawba,Roads,Meters,30.48,Catawba County Unified Dev. Ord. з 44-633,,,,,2021,,,
North Carolina ,,Chatham,Property Line,Meters,15.24,Chatham County Zoning Ord. з 17.6,,,,,,,,
North Carolina ,,Chatham,Roads,Meters,30.48,Chatham County Zoning Ord. з 17.6,,,,,,,,
North Carolina ,,Chatham,Height,Meters,7.62,Chatham County Zoning Ord. з 17.6,,,,,,,,
North Carolina ,,Chowan,Property Line,Meters,76.2,Chowan County Zoning Ord. з 8.108,,,,,,,,
North Carolina ,,Chowan,Roads,Meters,76.2,Chowan County Zoning Ord. з 8.108,,,,,,,,
North Carolina ,,Chowan,Waters,Meters,76.2,Chowan County Zoning Ord. з 8.108,"250' setback to ""CAMA designated navigable water bodies"" ",,,,,,,
North Carolina ,,Chowan,Highway,Meters,304.8,Chowan County Zoning Ord. з 8.108,1000' setback to NC Scenic Byways ,,,,,,,
North Carolina ,,Chowan ,Height ,Meters,4.5,Chowan County Zoning Ord. з 8.108,,,,,,,,
North Carolina ,,Clay,Property Line,Meters,30.48,Clay County Solar Farm Ord. з 6(C),,,,,2011,,,
North Carolina ,,Clay,Lakes,Meters,30.48,Clay County Solar Farm Ord. з 6(C),,,,,2011,,,
North Carolina ,,Clay,Rivers,Meters,30.48,Clay County Solar Farm Ord. з 6(C),,,,,2011,,,
North Carolina ,,Clay,Roads,Meters,30.48,Clay County Solar Farm Ord. з 6(C),,,,,2011,,,
North Carolina ,,Cleveland,Property Line,Meters,30.48,Cleveland County Unified Dev. Ord. з 12-160(e),,,,,2019,,,
North Carolina ,,Cleveland,Structures,Meters,60.96,Cleveland County Unified Dev. Ord. з 12-160(e),,,,,2019,,,
North Carolina ,,Cleveland,Highway,Meters,304.8,Cleveland County Unified Dev. Ord. з 12-160(e),,,,,2019,,,
North Carolina ,,Cleveland,Roads,Meters,60.96,Cleveland County Unified Dev. Ord. з 12-160(e),,,,,2019,,,
North Carolina ,,Columbus ,Property Line,Meters,9.144,Columbus County Zoning Ord. з 10-9-A,,,,,2021,,,
North Carolina ,,Columbus ,Highway,Meters,15.24,Columbus County Zoning Ord. з 10-9-A,,,,,2021,,,
North Carolina ,,Craven,Property Line,Meters,30.48,Craven County Code Ords. з 41-295,,,,,2021,,,
North Carolina ,,Craven,Roads,Meters,30.48,Craven County Code Ords. з 41-295,,,,,2021,,,
North Carolina ,,Currituck ,Maximum Lot Size,Acres,1000,Currituck County Unified Dev. Code з 4.2.3(K),,,,,2019,,,
North Carolina ,,Currituck ,Property Line,Meters,45.72,Currituck County Unified Dev. Code з 4.2.3(K),,,,,2019,,,
North Carolina ,,Currituck ,Roads,Meters,45.72,Currituck County Unified Dev. Code з 4.2.3(K),,,,,2019,,,
North Carolina ,,Currituck ,Waters,Meters,30.48,Currituck County Unified Dev. Code з 4.2.3(K),"100' setback to ""CAMA designated navigable water bodies"" ",,,,2019,,,
North Carolina ,,Currituck ,Height,Meters,6.096,Currituck County Unified Dev. Code з 4.2.3(K),,,,,2019,,,
North Carolina ,,Davie,Property Line,Meters,30.48,Davie County Zoning Ord. з 155.130.29,100' setback if in residential zone ,,,,,,,
North Carolina ,,Davie,Height ,Meters,4.5,Davie County Zoning Ord. з 155.130.29,,,,,,,,
North Carolina ,,Duplin,Property Line,Meters,7.62,Duplin County Solar Energy Ord. з 4,,,,,2015,,,
North Carolina ,,Duplin,Structures,Meters,91.44,Duplin County Solar Energy Ord. з 4,,,,,2015,,,
North Carolina ,,Duplin,Roads,Meters,18.3,Duplin County Solar Energy Ord. з 4,,,,,2015,,,
North Carolina ,,Edgecombe,Structures,Meters,30.48,Edgecombe County Unified Dev. Ord. з 4.3.97,,,,,2021,,,
North Carolina ,,Edgecombe,Height ,Meters,7.62,Edgecombe County Unified Dev. Ord. з 4.3.97,,,,,2021,,,
North Carolina ,,Gates,Minimum Lot Size ,Acres,10,Gates County Code Ords. з 155.204(B)(18),,,,,2021,,,
North Carolina ,,Gates,Property Line,Meters,30.48,Gates County Code Ords. з 155.204(B)(18),,,,,2021,,,
North Carolina ,,Gates,Structures,Meters,45.72,Gates County Code Ords. з 155.204(B)(18),,,,,2021,,,
North Carolina ,,Granville,Property Line,Meters,7.62,Granville County Land Dev. Code з 32-233,Greater of underlying zoning district setback or 25',,,,2009,,,
North Carolina ,,Granville,Height ,Meters,7.62,Granville County Land Dev. Code з 32-233,,,,,2009,,,
North Carolina ,,Greene,Property Line,Meters,7.62,Greene County Solar Energy Ord. з 5,,,,,2015,,,
North Carolina ,,Greene,Structures,Meters,152.4,Greene County Solar Energy Ord. з 5,"500' setback to ""Any residence or church""",,,,2015,,,
North Carolina ,,Greene,Roads,Meters,12.18,Greene County Solar Energy Ord. з 5,40' setback to roads,,,,2015,,,
North Carolina ,,Guilford,Structures,Meters,30.48,Guilford County Unified Dev. Ord. з 5.14(D),,,,,2020,,,
North Carolina ,,Guilford,Height ,Meters,7.62,Guilford County Unified Dev. Ord. з 5.14(D),,,,,2020,,,
North Carolina ,,Halifax,Structures,Meters,22.86,Halifax County Code Ords. з 46-50,75' setback,,,,2019,,,
North Carolina ,,Halifax,Height ,Meters,7.62,Halifax County Code Ords. з 46-51,,,,,2019,,,
North Carolina ,,Halifax,Waters,Meters,15.24,Halifax County Code Ords. з 46-50,"50' setback to lakes, rivers, or wetlands",,,,2019,,,
North Carolina ,,Harnett,Property Line,Meters,7.62,Harnett County Unified Dev. Ord. з 8.1.2,Greater of underlying zoning district setback or 25',,,,,,,
North Carolina ,,Harnett,Height ,Meters,7.62,Harnett County Unified Dev. Ord. з 8.1.2,,,,,,,,
North Carolina ,,Henderson,Property Line,Meters,6.096,Henderson County Code Ords. з 42-32.9.9,,,,,,,,
North Carolina ,,Henderson,Height ,Meters,7.62,Henderson County Code Ords. з 42-32.9.9,,,,,,,,
North Carolina ,,Hertford,Property Line,Meters,60.96,Hertford County Zoning Ord. з 5.02(C)(23),,,,,2021,,,
North Carolina ,,Hertford,Roads,Meters,60.96,Hertford County Zoning Ord. з 5.02(C)(23),,,,,2021,,,
North Carolina ,,Hertford,Highway,Meters,304.8,Hertford County Zoning Ord. з 5.02(C)(23),1000' setback from all NC scenic byways ,,,,2021,,,
North Carolina ,,Hertford,Height ,Meters,4.5,Hertford County Zoning Ord. з 5.02(C)(23),,,,,2021,,,
North Carolina ,,Iredell,Structures,Meters,152.4,Iredell County Land Dev. Code з 3.1-R65,500' to residential dwellings,,,,2020,,,
North Carolina ,,Iredell,Waters,Meters,30.48,Iredell County Land Dev. Code з 3.1-R65,"100' setback to ""perennial streams""",,,,2020,,,
North Carolina ,,Johnston ,Property Line,Meters,45.72,Johnston County Code Ords. з 14-123,,,,,2015,,,
North Carolina ,,Johnston ,Height ,Meters,3.65,Johnston County Code Ords. з 14-123,12' max height ,,,,2015,,,
North Carolina ,,Jones,Property Line,Meters,30.48,Jones County Solar Energy Ord. з 5,,,,,2019,,,
North Carolina ,,Jones,Roads,Meters,30.48,Jones County Solar Energy Ord. з 5,,,,,2019,,,
North Carolina ,,Lincoln,Property Line,Meters,15.24,Lincoln County Unified Dev. Ord. з 4.3.7,,,,,,,,
North Carolina ,,Lincoln,Height ,Meters,6.096,Lincoln County Unified Dev. Ord. з 4.3.7,,,,,,,,
North Carolina ,,Madison,Roads,Meters,15.24,Madison County Land Use Ord. з 8.9.3,,,,,2021,,,
North Carolina ,,Madison,Sound,dBA,40,Madison County Land Use Ord. з 8.9.3,,,,,2021,,,
North Carolina ,,Montgomery,Height ,Meters,6.096,Montgomery County Code Ords. з 3.5(A),,,,,2021,,,
North Carolina ,,Montgomery,Waters,Meters,15.24,Montgomery County Code Ords. з 3.5(A),"50' setback to ""perennial or intermittent waters""",,,,2021,,,
North Carolina ,,Moore,Property Line,Meters,15.24,Moore County Unified Dev. Ord. з 8.99,,,,,,,,
North Carolina ,,Moore,Roads,Meters,30.48,Moore County Unified Dev. Ord. з 8.99,,,,,,,,
North Carolina ,,Nash,Height ,Meters,7.62,Nash County Code Ords. з 11-4.72(a),,,,,,,,
North Carolina ,,Northampton,Property Line,Meters,15.24,Northampton County Zoning Ord. з 2-1(A)(13) ,,,,,2016,,,
North Carolina ,,Northampton,Roads,Meters,30.48,Northampton County Zoning Ord. з 2-1(A)(13) ,,,,,2016,,,
North Carolina ,,Onslow,Property Line,Meters,7.62,Onslow County Zoning Ord. з 9.12(K),,,,,,,,
North Carolina ,,Onslow,Roads,Meters,9.144,Onslow County Zoning Ord. з 9.12(K),,,,,,,,
North Carolina ,,Onslow,Structures,Meters,30.48,Onslow County Zoning Ord. з 9.12(K),,,,,,,,
North Carolina ,,Onslow,Height ,Meters,6.096,Onslow County Zoning Ord. з 9.12(K),,,,,,,,
North Carolina ,,Pamlico,Property Line,Meters,30.48,Pamlico County Solar Farm Ord. з 5,,,,,2017,,,
North Carolina ,,Pamlico,Roads,Meters,30.48,Pamlico County Solar Farm Ord. з 5,,,,,2017,,,
North Carolina ,,Pasquotank,Maximum Lot Size,Acres,1500,Pasquotank County Zoning Ord. з 9.03-27,,,,,2018,,,
North Carolina ,,Pasquotank,Waters,Meters,30.48,Pasquotank County Zoning Ord. з 9.03-27,"100' setback to lakes, wetlands, or streams/rivers",,,,2018,,,
North Carolina ,,Pasquotank,Height ,Meters,7.62,Pasquotank County Zoning Ord. з 9.03-27,,,,,2018,,,
North Carolina ,,Pasquotank,Highway,Meters,804.67,Pasquotank County Zoning Ord. з 9.03-27,"1/2 mile setback to ""Highway 17, Future I-87 and Halstead Boulevard Extended""",,,,2018,,,
North Carolina ,,Perquimans,Property Line,Meters,30.48,Perquimans County Zoning Ord. з 9.11.29,Greater of underlying zoning district setback or 100',,,,,,,
North Carolina ,,Perquimans,Maximum Lot Size,Acres,100,Perquimans County Zoning Ord. з 9.11.29,,,,,,,,
North Carolina ,,Perquimans,Waters,Meters,45.72,Perquimans County Zoning Ord. з 9.11.29,"150' setback to wetlands ""identified by state or federal agencies"" ",,,,,,,
North Carolina ,,Perquimans,Height ,Meters,4.5,Perquimans County Zoning Ord. з 9.11.29,,,,,,,,
North Carolina ,,Person,Structures,Meters,91.44,Person County Solar Energy Ord. з 2.2,,,,,2020,,,
North Carolina ,,Person,Height ,Meters,4.5,Person County Solar Energy Ord. з 2.2,,,,,2020,,,
North Carolina ,,Polk,Property Line,Meters,12.19,Polk County Zoning Ord. з 6.2.10,40' setback,,,,2012,,,
North Carolina ,,Polk,Structures,Meters,60.96,Polk County Zoning Ord. з 6.2.10,200' setback to offsite residences ,,,,2012,,,
North Carolina ,,Polk,Height ,Meters,3.65,Polk County Zoning Ord. з 6.2.10,,,,,2012,,,
North Carolina ,,Richmond,Minimum Lot Size,Acres,10,Richmond County Zoning Ord. з 6.10.14,,,,,,,,
North Carolina ,,Richmond,Roads,Meters,19.81,Richmond County Zoning Ord. з 6.10.14,65' setback,,,,,,,
North Carolina ,,Richmond,Height ,Meters,6.096,Richmond County Zoning Ord. з 6.10.14,,,,,,,,
North Carolina ,,Rockingham,Minimum Lot Size,Acres,10,Rockingham County Zoning Ord. з 9.11(gg),,,,,2017,,,
North Carolina ,,Rockingham,Property Line,Meters,30.48,Rockingham County Zoning Ord. з 9.11(gg),,,,,2017,,,
North Carolina ,,Rockingham,Height ,Meters,4.5,Rockingham County Zoning Ord. з 9.11(gg),,,,,2017,,,
North Carolina ,,Rowan,Property Line,Meters,15.24,Rowan County Zoning Ord. з 21-56(6)(c)(2),,,,,,,,
North Carolina ,,Rowan,Structures,Meters,30.48,Rowan County Zoning Ord. з 21-56(6)(c)(2),,,,,,,,
North Carolina ,,Rowan,Roads,Meters,15.24,Rowan County Zoning Ord. з 21-56(6)(c)(2),,,,,,,,
North Carolina ,,Vance,Property Line,Meters,15.24,Vance County Code Ords. з 156-089(O),,,,,2019,,,
North Carolina ,,Vance,Roads,Meters,30.48,Vance County Code Ords. з 156-089(O),,,,,2019,,,
North Carolina ,,Vance,Height ,Meters,7.62,Vance County Code Ords. з 156-089(O),,,,,2019,,,
North Carolina ,,Vance,Sound,dBA,50,Vance County Code Ords. з 156-089(O),,,,,2019,,,
North Carolina ,,Warren,Property Line,Meters,15.24,Warren County Zoning Ord. з 1(H)25,,,,,,,,
North Carolina ,,Warren,Height ,Meters,4.5,Warren County Zoning Ord. з 1(H)25,,,,,,,,
North Carolina ,,Washington,Property Line,Meters,22.86,Washington County Zoning Ord. з 13.9,75' setback,,,,2021,,,
North Carolina ,,Washington,Structures,Meters,91.44,Washington County Zoning Ord. з 13.9,,,,,2021,,,
North Carolina ,,Washington,Height ,Meters,4.5,Washington County Zoning Ord. з 13.10,,,,,2021,,,
North Carolina ,,Wayne,Structures,Meters,30.48,Wayne County Solar Energy Ord. з 5,,,,,2014,,,
North Carolina ,,Wayne,Roads,Meters,18.28,Wayne County Solar Energy Ord. з 5,,,,,2014,,,
North Carolina ,,Yadkin,Roads,Meters,38.1,Yadkin County Zoning Ord. з 9.5,125' setback,,,,2021,,,
North Carolina ,,Yadkin,Highway,Meters,15.24,Yadkin County Zoning Ord. з 9.5,,,,,2021,,,
North Carolina ,,Yadkin,Structures,Meters,91.44,Yadkin County Zoning Ord. з 9.5,,,,,2021,,,
North Dakota,,Barnes,Property Line,Meters,30.48,Barnes county development code7.1.3 ,,,,,,,,
North Dakota,,Barnes,Roads,Meters,60.96,Barnes county development code7.1.3 ,,,,,,,,
North Dakota,,Divide,Property Line,Meters,30.48,7.13 Solar Energy Facilities ,,,,,,,,
North Dakota,,Divide,Roads,Meters,76.2,7.13 Solar Energy Facilities ,,,,,,,,
Oregon,,Baker,Structures,Meters,402.33,Baker County Zoning Ord. з 760.03(E)(4),1320 foot setback to dwellings ,,,,2021,,,
Pennsylvania,,Clarion,Minimum Lot Size,Acres,1,Clarion County Solar Energy Ord. з 3(B),,,,,2021,,,
Pennsylvania,,Clarion,Height ,Meters,4.5,Clarion County Solar Energy Ord. з 3(B),,,,,2021,,,
Pennsylvania,,Luzerne,Property Line,Meters,30.48,Luzerne County Subdiv. & Land use Ord. з 543.3,,,,,2021,,,
Pennsylvania,,Luzerne,Roads,Meters,152.4,Luzerne County Subdiv. & Land use Ord. з 543.3,,,,,2021,,,
Pennsylvania,,Luzerne,Minimum Lot Size,Acres,10,Luzerne County Subdiv. & Land use Ord. з 543.6,,,,,2021,,,
Pennsylvania,,Montour,Sound,dBA,55,Montour County Ord. 1-2021 з 3.2,,,,,2021,,,
Pennsylvania,,Montour,Structures,Meters,15.24,Montour County Ord. 1-2021 з 3.2,,,,,2021,,,
Pennsylvania,,Montour,Height ,Meters,4.5,Montour County Ord. 1-2021 з 3.2,,,,,2021,,,
South Carolina,,Abbeville,Roads,Meters,15.24,code of odrinances 3.23 Solar farms ,,,,,,,,
South Carolina,,Abbeville,Property Line,Meters,30.48,code of odrinances 3.23 Solar farms ,,,,,,,,
South Carolina,,Abbeville,Height ,Meters,6.096,code of odrinances 3.23 Solar farms ,,,,,,,,
South Carolina,,Calhoun,Structures,Meters,152.4,Code of ordinances sec 5-124,,,,,,,,
South Carolina,,Calhoun,Roads,Meters,15.24,Code of ordinances sec 5-124,,,,,,,,
South Carolina,,Calhoun,Height ,Meters,6.096,Code of ordinances sec 5-124,,,,,,,,
South Carolina,,Chester,Height ,Meters,7.62,Article VII Solar Farm ,,,,,,,,
South Carolina,,Darlington,Minimum Lot Size,Acres,1,Darlington County Code of Ordinances 19-4,,,,,,,,
South Carolina,,Darlington,Maximum Project Size,Megawatt,75,Darlington County Code of Ordinances 19-4,,,,,,,,
South Carolina,,Darlington,Structures,Meters,60.96,Darlington County Code of Ordinances 19-4,,,,,,,,
South Carolina,,Darlington,Property Line,Meters,15.24,Darlington County Code of Ordinances 19-4,,,,,,,,
South Carolina,,Edgefield,Height ,Meters,6.096,Sec. 24-84. - Solar panels,,,,,,,,
South Carolina,,Georgetown,Minimum Lot Size,Acres,3,art XX 2004,,,,,,,,
South Carolina,,Georgetown,Height ,Meters,4.572,art XX 2004,,,,,,,,
South Carolina,,Kershaw,Roads,Meters,30.48,"Zoning & Land Development Regulations Article 3, Section 3.3",,,,,,,,
South Carolina,,Kershaw,Property Line,Meters,30.48,"Zoning & Land Development Regulations Article 3, Section 3.3",,,,,,,,
South Carolina,,Kershaw,Height ,Meters,4.572,"Zoning & Land Development Regulations Article 3, Section 3.3",,,,,,,,
South Carolina,,Lancaster,Roads,Meters,15.24,5.11.4 solar farms ,,,,,,,,
South Carolina,,Lancaster,Structures,Meters,45.72,5.11.4 solar farms ,,,,,,,,
South Carolina,,Lancaster,Sound,dBA,45,5.11.4 solar farms ,,,,,,,,
South Carolina,,Marlboro,Height ,Meters,7.62,Ordinance 818 - Conditions for Solar Energy Systems,,,,,,,,
South Carolina,,Marlboro,Structures,Meters,121.92,Ordinance 818 - Conditions for Solar Energy Systems,,,,,,,,
South Carolina,,Marlboro,Property Line,Meters,30.48,Ordinance 818 - Conditions for Solar Energy Systems,,,,,,,,
South Carolina,,Newberry ,Roads,Meters,30.48,153.124 аSolar farm ,,,,,,,,
South Carolina,,Newberry ,Property Line,Meters,30.48,153.124 аSolar farm ,,,,,,,,
South Carolina,,Newberry ,Height ,Meters,6.096,153.124 аSolar farm ,,,,,,,,
South Dakota,,McCook,Property Line,Meters,15.24,McCook County Zoning Regs. з 11.19(G),,,,,2020,,,
South Dakota,,McCook,Roads,Meters,15.24,McCook County Zoning Regs. з 11.19(G),,,,,2020,,,
South Dakota,,McCook,Height ,Meters,4.5,McCook County Zoning Regs. з 11.19(G),,,,,2020,,,
South Dakota,,Pennington,Minimum Lot Size,Acres,5,Pennington County Zoning Ord. з 317(A)(7),,,,,2017,,,
South Dakota,,Pennington,Property Line,Maximum Structure Height,1.5,Pennington County Zoning Ord. з 317(A)(7),Greater of 25' setback or 1.5x max structure height ,,,,2017,,,
South Dakota,,Pennington,Structures,Meters,30.48,Pennington County Zoning Ord. з 317(A)(7),,,,,2017,,,
South Dakota,,Pennington,Roads,Maximum Structure Height,1.5,Pennington County Zoning Ord. з 317(A)(7),,,,,2017,,,
South Dakota,,Pennington,Sound,dBA,55,Pennington County Zoning Ord. з 317(A)(7),,,,,2017,,,
Tennessee,,Fayette,Property Line,Meters,9.14,Fayette County Zoning Res. з 13,,,,,2021,,,
Tennessee,,Fayette,Minimum Lot Size,Acres,150,Fayette County Zoning Res. з 13,,,,,2021,,,
Tennessee,,Fayette,Roads,Meters,152.4,Fayette County Zoning Res. з 13,,,,,2021,,,
Tennessee,,Fayette,Structures,Meters,152.4,Fayette County Zoning Res. з 13,500' setback to existing residences ,,,,2021,,,
Tennessee,,Greene,Property Line,Meters,15.24,Greene County Zoning Ord. з 601.1S(3),,,,,2020,,,
Tennessee,,Haywood,Minimum Lot Size,Acres,100,Haywood County Zoning Res. з 9.02(D),,,,,2021,,,
Tennessee,,Haywood,Structures,Meters,152.4,Haywood County Zoning Res. з 9.02(D),,,,,2021,,,
Tennessee,,Jefferson,Property Line,Meters,9.14,Jefferson County Zoning Res. з 7.9,,,,,2016,,,
Tennessee,,Shelby,Property Line,Maximum Structure Height,1.1,Shelby County Unified Dev. Code 2.6.2(2),,,,,,,,
Tennessee,,Washington,Minimum Lot Size,Acres,3,Washington County Zoning Res. з 516.1.1,,,,,2018,,,
Tennessee,,Washington,Property Line,Meters,15.24,Washington County Zoning Ord. з 516.1.1,,,,,2018,,,
Tennessee,,Washington,Height ,Meters,6.096,Washington County Zoning Ord. з 516.1.1,,,,,2018,,,
Texas,San Antonio,,Height ,Meters,4,San Antonio Unified Dev. Code з 35-398(b),,,,,2010,,,
Texas,San Antonio,,Property Line,Meters,9.14,San Antonio Unified Dev. Code з 35-398(b),,,,,2010,,,
Utah,,Duchesne ,Minimum Lot Size,Acres,5,Duchesne County Zoning Ord. з 8-9-15.3,,,,,2018,,,
Utah,,Duchesne ,Height ,Meters,9.14,Duchesne County Zoning Ord. з 8-9-15.3,,,,,2018,,,
Utah,,Duchesne ,Property Line,Meters,9.14,Duchesne County Zoning Ord. з 8-9-15.3,,,,,2018,,,
Utah,,Duchesne ,Roads,Meters,9.14,Duchesne County Zoning Ord. з 8-9-15.3,,,,,2018,,,
Utah,,Duchesne ,Structures,Meters,30.48,Duchesne County Zoning Ord. з 8-9-15.3,,,,,2018,,,
Utah,,Duchesne ,Sound,dBA,50,Duchesne County Zoning Ord. з 8-9-15.3,,,,,2018,,,
Utah,,Iron ,Minimum Lot Size,Acres,5,Iron County Code Ords. з 17.33.030,,,,,2010,,,
Utah,,Iron ,Height ,Meters,9.14,Iron County Code Ords. з 17.33.030,,,,,2010,,,
Utah,,Iron ,Property Line,Meters,9.14,Iron County Code Ords. з 17.33.030,,,,,2010,,,
Utah,,Iron ,Roads,Meters,9.14,Iron County Code Ords. з 17.33.030,,,,,2010,,,
Utah,,Iron ,Structures,Meters,30.48,Iron County Code Ords. з 17.33.030,,,,,2010,,,
Utah,,Iron ,Sound,dBA,50,Iron County Code Ords. з 17.33.030,,,,,2010,,,
Utah,,Kane,Property Line,Maximum Structure Height,1.5,Kane County Code Ords. з 9-24-3,,,,,2013,,,
Utah,,Kane,Roads,Maximum Structure Height,1.5,Kane County Code Ords. з 9-24-3,,,,,2013,,,
Utah,,Kane,Structures,Meters,804,Kane County Code Ords. з 9-24-3,1/2 mile setback to any inhabitable structure,,,,2013,,,
Utah,,Kane,Sound,dBA,65/50,Kane County Code Ords. з 9-24-3,65 db at property line; 50 db at nearest residence ,,,,2013,,,
Virginia,,Alleghany ,Property Line,Meters,7.62,Sec. 66-755. - Development standards for utility-scale solar generation facilities,,,,,,,,
Virginia,,Alleghany ,Roads,Meters,22.86,Sec. 66-755. - Development standards for utility-scale solar generation facilities,,,,,,,,
Virginia,,Alleghany ,Structures,Meters,22.86,Sec. 66-755. - Development standards for utility-scale solar generation facilities,,,,,,,,
Virginia,,Alleghany ,Height ,Meters,6.096,Sec. 66-755. - Development standards for utility-scale solar generation facilities,,,,,,,,
Virginia,,Amelia,Structures,Meters,15.24,Amelia County Land Use. Ords. з 325-34.2,,,,,,,,
Virginia,,Amelia,Height ,Meters,7.62,Amelia County Land Use. Ords. з 325-34.2,,,,,,,,
Virginia,,Amelia,Density,Percentage,3%,Amelia County Land Use. Ords. з 325-34.2,No more than 3% of the land area in any given five-mile radius shall be approved for use as the project area for utility-scale solar energy systems.,,,,,,,
Virginia,,Amelia,Sound,dBA,50,Amelia County Land Use. Ords. з 325-34.2,,,,,,,,
Virginia,,Amherst ,Property Line,Meters,45.72,923. - Solar generation facilities. Zoning code,,,,,,,,
Virginia,,Amherst ,Height ,Meters,6.096,923. - Solar generation facilities. Zoning code,,,,,,,,
Virginia,,Appomattox,Property Line,Meters,152.4,chapt. 19.6 zoning,,,,,,,,
Virginia,,Augusta,Height ,Meters,4.572,Augusta County Zoning Ord. за25-70.8,,,,,2021,,,
Virginia,,Augusta,Sound,dBA,60,Augusta County Zoning Ord. з 25-70.8,,,,,2021,,,
Virginia,,Augusta,Property Line,Meters,60.96,Augusta County Zoning Ord. з 25-70.8,,,,,2021,,,
Virginia,,Brunswick,Total Installation Size,Acres,8500,ARTICLE 23. - SOLAR FACILITIES,,,,,,,,
Virginia,,Brunswick,Structures,Meters,76.2,ARTICLE 23. - SOLAR FACILITIES,,,,,,,,
Virginia,,Brunswick,Property Line,Meters,45.72,ARTICLE 23. - SOLAR FACILITIES,,,,,,,,
Virginia,,Brunswick,Height ,Meters,4.572,ARTICLE 23. - SOLAR FACILITIES,,,,,,,,
Virginia,,Caroline,Density ,Meters,1609,Caroline County Zoning Ord. з 23.9,Minimum spacing between solar plants is 1-mile,,,,2021,,,
Virginia,,Caroline,Roads,Meters,152.4,Caroline County Zoning Ord. з 23.9,,,,,2021,,,
Virginia,,Caroline,Structures,Meters,152.4,Caroline County Zoning Ord. з 23.9,,,,,2021,,,
