Company,"City, State",City,State,LAT,LON,Project Type,Category,Technology,Source,Source for table,Project Size (text),Project Size ($),Total Jobs Expected,Facility Jobs,Construction Jobs,Grants,Loans,Status
SkyWater,"Kissimmeee, FL",Kissimmeee,FL,28.322488,-81.412278,Expansion,Packaging,,https://www.businesswire.com/news/home/20220906005431/en/SkyWater-to-Leverage-36.5M-Department-of-Commerce-Grant-to-the-Florida-Semiconductor-Coalition-to-Expand-its-Advanced-Packaging-Facility-Operations-in-Florida ,[Source](https://www.businesswire.com/news/home/20220906005431/en/SkyWater-to-Leverage-36.5M-Department-of-Commerce-Grant-to-the-Florida-Semiconductor-Coalition-to-Expand-its-Advanced-Packaging-Facility-Operations-in-Florida ),Not Available,Not Available,220,220,,,,
Absolics,"Covington, GA",Covington,GA,33.5966005,-83.8598742,New Facility,Materials,Substrates,https://www.nist.gov/chips/absolics-georgia-covington,[Source](https://www.nist.gov/chips/absolics-georgia-covington),$343 million,"$343,000,000 ",1200,200,1000,$75 million,N/A,"Final Award (Dec. 5, 2024)"
Micromize,"Columbus, GA",Columbus,GA,32.4610708,-84.9880449,New Facility,Semiconductors,,https://www.gatech.edu/news/2024/01/24/bold-move-columbus-marks-first-semiconductor-manufacturer-region,[Source](https://www.gatech.edu/news/2024/01/24/bold-move-columbus-marks-first-semiconductor-manufacturer-region),Not Available,Not Available,25,25,,,,
Air Liquide,"Boise, ID",Boise,ID,43.8166163,-116.400886,New Facility,Materials,,https://www.airliquide.com/group/press-releases-news/2024-06-05/air-liquide-signed-major-contract-support-semiconductor-industry-us-investment-more-250-million,[Source](https://www.airliquide.com/group/press-releases-news/2024-06-05/air-liquide-signed-major-contract-support-semiconductor-industry-us-investment-more-250-million),$250 million,"$250,000,000 ",Not Available,Not Available,,,,
Micron,"Boise, ID",Boise,ID,43.6166163,-116.200886,New Facility,Semiconductors,Leading-edge DRAM,https://www.nist.gov/chips/micron-idaho-boise,[Source](https://www.nist.gov/chips/micron-idaho-boise),$50 billion,"$50,000,000,000 ",6500,2000,4500,$1.5 billion,N/A,"Final Award (Dec. 10, 2024)"
Micron,"Boise, ID",Boise,ID,43.246621,-76.1665431,R&D,R&D Facility,Multiple Locations,https://investors.micron.com/news-releases/news-release-details/micron-and-trump-administration-announce-expanded-us-investments,[Source](https://investors.micron.com/news-releases/news-release-details/micron-and-trump-administration-announce-expanded-us-investments),$48 billion,"$48,000,000,000 ",Not Available,Not Available,,,,
Everspin Technologies,"Odon, IN",Odon,IN,38.8428256,-86.9913959,New Facility,Semiconductors,,https://www.thecentersquare.com/indiana/four-semiconductor-makers-announce-277m-investment-in-indiana/article_41dfc5ea-69d5-11ed-85eb-83b3023a63a9.html,[Source](https://www.thecentersquare.com/indiana/four-semiconductor-makers-announce-277m-investment-in-indiana/article_41dfc5ea-69d5-11ed-85eb-83b3023a63a9.html),Not Available,Not Available,35,35,,,,
MediaTek,"West Lafayette, IN",West Lafayette,IN,40.3258686,-86.7580655,New Facility,Chip Design,,https://corp.mediatek.com/news-events/press-releases/mediatek-announces-commitment-to-new-semiconductor-design-center-at-purdue-university-in-indiana,[Source](https://corp.mediatek.com/news-events/press-releases/mediatek-announces-commitment-to-new-semiconductor-design-center-at-purdue-university-in-indiana),Not Available,Not Available,Not Available,Not Available,,,,
Nhanced Semiconductors,"Odon, IN",Odon,IN,39.2428256,-86.6913959,New Facility,Semiconductors,,https://www.thecentersquare.com/indiana/four-semiconductor-makers-announce-277m-investment-in-indiana/article_41dfc5ea-69d5-11ed-85eb-83b3023a63a9.html,[Source](https://www.thecentersquare.com/indiana/four-semiconductor-makers-announce-277m-investment-in-indiana/article_41dfc5ea-69d5-11ed-85eb-83b3023a63a9.html),$236 million,"$236,000,000 ",413,413,,,,
SK hynix,"West Lafayette, IN",West Lafayette,IN,40.4258686,-86.9080655,New Facility,Packaging,High-bandwidth-memory advanced packaging fabrication and R&D,https://www.nist.gov/chips/sk-hynix-indiana-west-lafayette,[Source](https://www.nist.gov/chips/sk-hynix-indiana-west-lafayette),$3.87 billion,"$3,870,000,000 ",Not Available,1000,Hundreds,$458 million,$500 million,"Final Award (Dec. 19, 2024)"
