"Manufacturing, industrial, and energy facility metadata"

version:,2025_Q4.20260109.0
created:,Fri Jan  9 12:47:14 2026 (PST)
unique_id,Segment,Company,Technology,Subcategory,Decarb_Sector,Project_Type,Current_Facility_Status,Estimated_Total_Facility_CAPEX,Announcement_Date,State,Address,CD119_2024,CD119_2024_Name,US Senator 1: Name,US Senator 1: Party,US Senator 2: Name,US Senator 2: Party,US Representative Name,US Representative Party,county_2020_fips_code,county_2020_geoid,census_tract_2020_id,census_tract_2020_geoid,census_tract_2020_name,county_2010_fips_code,county_2010_geoid,census_tract_2010_id,census_tract_2010_geoid,census_tract_2010_name,census_2022_zip5,Latitude,Longitude,LatLon_Valid
M.B.Cirba_OH_0,Manufacturing,Cirba Solutions,Batteries,EAM,Clean Tech Manufacturing,Expansion,Operating,412.919695,2022-10-13,OH,"500–512 Hocking St, Lancaster, OH  43130",3912.0,OH-12,Jon Husted,Republican,Bernie Moreno,Republican,Troy Balderson,Republican,45.0,39045.0,31700.0,39045031700.0,Census Tract 317,45.0,39045.0,31700.0,39045031700.0,Census Tract 317,43130.0,39.719,-82.61,True
M.B.Cirba_AZ_0,Manufacturing,Cirba/Heritage Battery Recycling,Batteries,EAM,Clean Tech Manufacturing,New,Operating,,2022-09-29,AZ,"1300 W Battaglia Rd, Eloy, AZ 85131",406.0,AZ-06,Ruben Gallego,Democratic,Mark Kelly,Democratic,Juan Ciscomani,Republican,21.0,4021.0,1900.0,4021001900.0,Census Tract 19,21.0,4021.0,1900.0,4021001900.0,Census Tract 19,85131.0,32.76382,-111.57657,True
M.B.Cirba_SC_0,Manufacturing,Cirba Solutions,Batteries,EAM,Clean Tech Manufacturing,New,Announced,306.049175,2023-03-22,SC,"1099 Longwood Rd, Columbia, SC 29209",4506.0,SC-06,Lindsey Graham,Republican,Tim Scott,Republican,James Clyburn,Democratic,79.0,45079.0,11702.0,45079011702.0,Census Tract 117.02,79.0,45079.0,11702.0,45079011702.0,Census Tract 117.02,29209.0,33.93036,-80.93342,True
M.B.Corvus_WA_0,Manufacturing,Corvus Energy,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,Operating,29.682181,2022-05-19,WA,"306 W Champion St, Bellingham, WA  98225",5302.0,WA-02,Maria Cantwell,Democratic,Patty Murray,Democratic,Rick Larsen,Democratic,73.0,53073.0,600.0,53073000600.0,Census Tract 6,73.0,53073.0,600.0,53073000600.0,Census Tract 6,98225.0,48.752,-122.48,True
M.B.Cummins_MS_0,Manufacturing,"Cummins, Daimler, PACCAR",Batteries,Cells,Clean Tech Manufacturing,New,Under Construction,1926.925497,2024-01-18,MS,"Byhalia, MS 38611",2801.0,MS-01,Cindy Hyde-Smith,Republican,Roger Wicker,Republican,Trent Kelly,Republican,93.0,28093.0,950102.0,28093950102.0,Census Tract 9501.02,93.0,28093.0,950100.0,28093950100.0,Census Tract 9501,38611.0,34.972044,-89.602715,True
M.B.Dai_NC_0,Manufacturing,Dai Nippon Printing,Batteries,Cells,Clean Tech Manufacturing,New,Announced,236.767608,2023-11-28,NC,"Linwood, Davidson County, NC",3706.0,NC-06,Ted Budd,Republican,Thom Tillis,Republican,Addison McDowell,Republican,57.0,37057.0,61803.0,37057061803.0,Census Tract 618.03,57.0,37057.0,61803.0,37057061803.0,Census Tract 618.03,27299.0,35.750894,-80.317958,True
M.B.Daikin_AL_0,Manufacturing,Daikin America,Batteries,EAM,Clean Tech Manufacturing,Expansion,Operating,44.138702,2019-09-13,AL,"905 State Docks Rd NW, Decatur, AL 35601",105.0,AL-05,Katie Britt,Republican,Tommy Tuberville,Republican,Dale Strong,Republican,103.0,1103.0,5101.0,1103005101.0,Census Tract 51.01,103.0,1103.0,5101.0,1103005101.0,Census Tract 51.01,35601.0,34.63019,-87.040454,True
M.B.Denkai_SC_0,Manufacturing,Denkai America,Batteries,EAM,Clean Tech Manufacturing,Expansion,Retired,15.744244,2021-06-18,SC,"29 Battleship Road Ext., Camden, SC 29020",4505.0,SC-05,Lindsey Graham,Republican,Tim Scott,Republican,Ralph Norman,Republican,55.0,45055.0,970800.0,45055970800.0,Census Tract 9708,55.0,45055.0,970800.0,45055970800.0,Census Tract 9708,29020.0,34.245214,-80.637173,True
M.B.Denkai_GA_0,Manufacturing,Denkai America,Batteries,EAM,Clean Tech Manufacturing,New,Canceled prior to operation,156.021487,2022-07-20,GA,"Augusta, GA",,,,,,,,,,,,,,,,,,,,33.476472,-81.998918,False
M.B.Dongwha_TN_0,Manufacturing,Dongwha Electrolyte,Batteries,EAM,Clean Tech Manufacturing,New,Operating,71.411474,2023-02-27,TN,"4370 Guthrie Highway, Clarksville, TN 37040",4707.0,TN-07,Marsha Blackburn,Republican,Bill Hagerty,Republican,Matt Van Epps,Republican,125.0,47125.0,102010.0,47125102010.0,Census Tract 1020.10,125.0,47125.0,102006.0,47125102006.0,Census Tract 1020.06,37040.0,36.6205,-87.2334,True
M.B.Dragonfly_NV_0,Manufacturing,Dragonfly Energy,Batteries,"EAM, Cells",Clean Tech Manufacturing,Expansion,Operating,11.130818,2022-06-22,NV,"1190 Trademark Dr, Reno, NV 89521",3202.0,NV-02,Catherine Cortez Masto,Democratic,Jacky Rosen,Democratic,Mark Amodei,Republican,31.0,32031.0,2214.0,32031002214.0,Census Tract 22.14,31.0,32031.0,2206.0,32031002206.0,Census Tract 22.06,89521.0,39.45195,-119.74152,True
M.B.Dragonfly_NV_1,Manufacturing,Dragonfly Energy,Batteries,Cells,Clean Tech Manufacturing,Expansion,Operating,11.130818,2022-06-22,NV,"1190 Trademark Dr, Reno, NV 89521",3202.0,NV-02,Catherine Cortez Masto,Democratic,Jacky Rosen,Democratic,Mark Amodei,Republican,31.0,32031.0,2214.0,32031002214.0,Census Tract 22.14,31.0,32031.0,2206.0,32031002206.0,Census Tract 22.06,89521.0,39.45195,-119.74152,True
M.B.Duksan_TN_0,Manufacturing,Duksan Electera America,Batteries,EAM,Clean Tech Manufacturing,New,Operating,98.813608,2022-07-27,TN,"210 Frank Martin Road, Shelbyville, TN 37160",4704.0,TN-04,Marsha Blackburn,Republican,Bill Hagerty,Republican,Scott DesJarlais,Republican,3.0,47003.0,950100.0,47003950100.0,Census Tract 9501,3.0,47003.0,950100.0,47003950100.0,Census Tract 9501,37160.0,35.5733,-86.4532,True
M.B.Ecobat_AZ_0,Manufacturing,Ecobat,Batteries,EAM,Clean Tech Manufacturing,New,Operating,56.360109,2023-02-22,AZ,"1474 N. VIP Blvd., Casa Grande, AZ 85122",406.0,AZ-06,Ruben Gallego,Democratic,Mark Kelly,Democratic,Juan Ciscomani,Republican,21.0,4021.0,1500.0,4021001500.0,Census Tract 15,21.0,4021.0,1500.0,4021001500.0,Census Tract 15,85122.0,32.88992,-111.78483,True
M.B.ElectricPowerSystems_UT_0,Manufacturing,Electric Power Systems,Batteries,Modules,Clean Tech Manufacturing,Expansion,Operating,105.179128,2022-06-09,UT,"520 W 2850 N, North Logan, UT 84341",4901.0,UT-01,John Curtis,Republican,Mike Lee,Republican,Blake Moore,Republican,5.0,49005.0,403.0,49005000403.0,Census Tract 4.03,5.0,49005.0,403.0,49005000403.0,Census Tract 4.03,84341.0,41.783297,-111.810064,True
M.B.Electrovaya_NY_0,Manufacturing,Electrovaya,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,Operating,72.260947,2022-10-03,NY,"1 Precision Way, Jamestown, NY 14701",3623.0,NY-23,Kirsten Gillibrand,Democratic,Chuck Schumer,Democratic,Nick Langworthy,Republican,13.0,36013.0,37300.0,36013037300.0,Census Tract 373,13.0,36013.0,37300.0,36013037300.0,Census Tract 373,14701.0,42.10844,-79.19522,True
M.B.Enchem_GA_0,Manufacturing,Enchem America LLC,Batteries,EAM,Clean Tech Manufacturing,New,Operating,69.416493,2020-01-22,GA,"648 GA-334, Commerce, GA 30529",1309.0,GA-09,Jon Ossoff,Democratic,Raphael Warnock,Democratic,Andrew Clyde,Republican,157.0,13157.0,10400.0,13157010400.0,Census Tract 104,157.0,13157.0,10400.0,13157010400.0,Census Tract 104,30530.0,34.173773,-83.436142,True
M.B.Enchem_GA_1,Manufacturing,Enchem America LLC,Batteries,EAM,Clean Tech Manufacturing,Expansion,Under Construction,845.401636,2022-11-28,GA,"648 GA-334, Commerce, GA 30529",1309.0,GA-09,Jon Ossoff,Democratic,Raphael Warnock,Democratic,Andrew Clyde,Republican,157.0,13157.0,10400.0,13157010400.0,Census Tract 104,157.0,13157.0,10400.0,13157010400.0,Census Tract 104,30530.0,34.173773,-83.436142,True
M.B.Enchem_TN_0,Manufacturing,Enchem America LLC,Batteries,EAM,Clean Tech Manufacturing,New,Canceled prior to operation,155.670295,2023-06-27,TN,"Windrow Road and Hwy 70/79 Bypass Brownsville, TN 38012",4708.0,TN-08,Marsha Blackburn,Republican,Bill Hagerty,Republican,David Kustoff,Republican,75.0,47075.0,930400.0,47075930400.0,Census Tract 9304,75.0,47075.0,930400.0,47075930400.0,Census Tract 9304,38012.0,35.57343,-89.25856,True
M.B.EnerVenue_KY_0,Manufacturing,EnerVenue,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,Canceled prior to operation,284.717072,2022-03-28,KY,"3053 Squire Cir, Shelbyville, KY  40065",2104.0,KY-04,Mitch McConnell,Republican,Rand Paul,Republican,Thomas Massie,Republican,211.0,21211.0,40202.0,21211040202.0,Census Tract 402.02,211.0,21211.0,40200.0,21211040200.0,Census Tract 402,40065.0,38.22,-85.21,True
M.B.EnerSys_SC_0,Manufacturing,EnerSys,Batteries,Cells,Clean Tech Manufacturing,New,Announced,623.715358,2024-02-14,SC,"2017 Augusta Rd, Greenville, SC 29605",4504.0,SC-04,Lindsey Graham,Republican,Tim Scott,Republican,William Timmons,Republican,45.0,45045.0,1502.0,45045001502.0,Census Tract 15.02,45.0,45045.0,1502.0,45045001502.0,Census Tract 15.02,29605.0,34.80576,-82.37927,True
M.B.EnPower_IN_0,Manufacturing,"EnPower, Inc.",Batteries,"EAM, Cells",Clean Tech Manufacturing,New,Operating,148.410903,2021-12-20,IN,"8740 Hague Rd, Building 7, Indianapolis, IN 46256",1807.0,IN-07,Jim Banks,Republican,Todd C. Young,Republican,André Carson,Democratic,97.0,18097.0,330103.0,18097330103.0,Census Tract 3301.03,97.0,18097.0,330103.0,18097330103.0,Census Tract 3301.03,46256.0,39.916858,-86.034603,True
M.B.Entek_IN_0,Manufacturing,Entek,Batteries,EAM,Clean Tech Manufacturing,New,Under Construction,1530.245873,2023-03-22,IN,"3265 Ohio Blvd, Terre Haute, IN  47803",1808.0,IN-08,Jim Banks,Republican,Todd C. Young,Republican,Mark Messmer,Republican,167.0,18167.0,1400.0,18167001400.0,Census Tract 14,167.0,18167.0,1400.0,18167001400.0,Census Tract 14,47803.0,39.465,-87.37,True
M.B.Envision_KY_0,Manufacturing,Envision AESC US,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,Under Construction,2114.875348,2022-04-13,KY,"Kentucky Transpark, Bowling Green, KY 42101",2102.0,KY-02,Mitch McConnell,Republican,Rand Paul,Republican,Brett Guthrie,Republican,227.0,21227.0,11600.0,21227011600.0,Census Tract 116,227.0,21227.0,11600.0,21227011600.0,Census Tract 116,42101.0,37.04,-86.3,True
